theta0,phi0,mtheta0,mphi0,omega_theta,omega_phi,drift_theta,drift_phi
0.0,0.05,0.0,4.564262645114587,0.0,2.176827527638229,0.0,5.598650082471828e-10
0.0,0.05,0.011405902766800795,4.558553746513737,2.1779261858670678,4.353656965327111,6.466644475497192e-07,6.549434170152237e-07
0.0,0.05,0.02281180553360159,4.541383991544045,2.179023944496868,4.35365743264002,1.6337154184130461e-07,1.8142950801937029e-07
0.0,0.05,0.03421770830040239,4.512622562322564,2.1801239828496723,4.353659761086581,1.723974122081953e-07,1.7330317574150622e-07
0.0,0.05,0.04562361106720318,4.472045813030639,2.1812209939852454,4.353663040101108,1.3750036294535892e-06,1.7265137923802963e-07
0.0,0.05,0.057029513834003974,4.419328303061351,2.182322123779906,4.353667258657687,8.55013342742456e-10,1.7149258440775442e-07
0.0,0.05,0.06843541660080478,4.354029062737805,2.183422432704609,4.353672405053125,2.932882753789709e-10,1.7398695523565926e-07
0.0,0.05,0.07984131936760556,4.275571662435776,2.18452324432639,4.353678506866225,7.3686193465730825e-09,1.6706633419588292e-07
0.0,0.05,0.09124722213440636,4.183215812579391,2.1856245114877257,4.3536855307613935,8.196047675637838e-09,1.6780023244407198e-07
0.0,0.05,0.10265312490120715,4.0760168744911685,2.1867262889109074,4.353693481749449,3.287981790137216e-09,1.7292647046023528e-07
0.0,0.05,0.11405902766800795,3.95276740021359,2.1878284910724,4.353702380285364,2.7365637424685464e-09,1.7199180246386234e-07
0.0,0.05,0.12546493043480875,3.811910834709793,2.1889311357229606,4.353712212366804,2.2196840991271322e-11,1.7490750736039995e-07
0.0,0.05,0.13687083320160956,3.6514101160916694,2.190034231461456,4.353722983617612,1.0978249009048888e-09,1.7479384385614375e-07
0.0,0.05,0.14827673596841032,3.46853931685188,2.19113720142649,4.353734692587606,1.6020245922515133e-07,1.7385776521433509e-07
0.0,0.05,0.15968263873521113,3.25953550091575,2.1922422569111597,4.353747335802495,2.123036907164027e-07,1.7469631083692385e-07
0.0,0.05,0.17108854150201191,3.018975969338764,2.1933477045292378,4.353760915573181,1.6651696583610875e-07,1.7478464925158312e-07
0.0,0.05,0.18249444426881273,2.738557587068752,2.1944510973147158,4.353775431065812,2.780436811718661e-10,1.75178955427234e-07
0.0,0.05,0.19390034703561354,2.404374543300353,2.1955564795353597,4.353790884670509,8.467271900395651e-11,1.7522685041806817e-07
